model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m3_linear_residual_mlp,compressor_holdout,test,kMt,nominal_threshold,,1170,270,900,238,238,0,900,32,0.8,0.8,1.0,0.8814814814814815,0.937007874015748,0.0,0.11851851851851852,0.9991603861429386,0.23076923076923078,True,
m3_linear_residual_mlp,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.8,0.8,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,1127,1127,0,0,43,0.9,0.9,,0.9632478632478633,,,0.03675213675213675,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMt,nominal_threshold,,1170,135,1035,128,124,4,1031,11,0.9,0.9,0.96875,0.9185185185185185,0.9429657794676807,0.003864734299516908,0.08148148148148149,0.9938564844035755,0.11538461538461539,True,
m3_linear_residual_mlp,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,1128,1128,0,0,42,0.9,0.9,,0.9641025641025641,,,0.035897435897435895,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,random_row,test,kMc,nominal_threshold,,1790,911,879,899,899,0,879,12,0.5,0.5,1.0,0.986827661909989,0.9933701657458565,0.0,0.013172338090010977,0.9999987963872359,0.5089385474860335,True,
m3_linear_residual_mlp,random_row,test,kMt,nominal_threshold,,1790,888,902,888,888,0,902,0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.4960893854748603,True,
m3_linear_residual_mlp,random_row,test,any,nominal_threshold,,1790,1324,466,1316,1316,0,466,8,0.5,0.5,1.0,0.9939577039274925,0.996969696969697,0.0,0.006042296072507553,0.9999988608039079,0.7396648044692737,True,
m3_linear_residual_mlp,random_row,test,kMc,nominal_threshold,,1790,733,1057,711,711,0,1057,22,0.6,0.6,1.0,0.9699863574351978,0.984764542936288,0.0,0.030013642564802184,1.0,0.4094972067039106,True,
m3_linear_residual_mlp,random_row,test,kMt,nominal_threshold,,1790,758,1032,731,731,0,1032,27,0.6,0.6,1.0,0.9643799472295514,0.9818670248488919,0.0,0.03562005277044855,0.9999999999999999,0.423463687150838,True,
